Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 28, 2019",59.22,60.28,56.04,57.34,57.34,"2,710,057"
"Jun 21, 2019",57.26,59.93,56.66,59.43,59.43,"3,164,573"
"Jun 14, 2019",52.18,57.02,51.50,56.65,56.65,"2,131,089"
"Jun 07, 2019",53.10,54.84,50.72,52.28,52.28,"3,889,348"
"May 31, 2019",56.46,56.61,50.60,52.59,52.59,"4,580,674"
"May 24, 2019",58.21,59.70,56.33,56.59,56.59,"3,745,662"
"May 17, 2019",63.12,63.81,57.33,57.91,57.91,"2,864,150"
"May 10, 2019",61.64,63.48,60.64,62.87,62.87,"3,809,948"
"May 03, 2019",61.55,62.95,60.04,61.70,61.70,"3,819,838"
"Apr 26, 2019",65.13,65.18,60.95,61.81,61.81,"3,996,939"
"Apr 19, 2019",64.00,66.60,64.00,65.21,65.21,"2,745,512"
"Apr 12, 2019",63.71,64.65,62.99,64.00,64.00,"2,112,529"
"Apr 05, 2019",62.18,64.79,61.82,63.58,63.58,"3,856,026"
"Mar 29, 2019",59.53,62.99,59.41,62.10,62.10,"3,654,239"
"Mar 22, 2019",59.87,60.38,58.17,59.30,59.30,"3,574,586"
"Mar 15, 2019",58.51,60.39,57.74,59.98,59.98,"2,221,178"
"Mar 08, 2019",56.43,58.74,54.52,58.61,58.61,"3,175,532"
"Mar 01, 2019",57.22,57.88,55.42,56.66,56.66,"3,038,482"
"Feb 22, 2019",56.84,57.81,55.02,57.22,57.22,"2,849,275"
"Feb 15, 2019",54.48,57.61,54.24,56.96,56.96,"1,661,948"
"Feb 08, 2019",52.59,54.68,51.23,54.41,54.41,"3,409,655"
"Feb 01, 2019",54.01,55.75,51.80,52.64,52.64,"3,277,524"
"Jan 25, 2019",53.17,55.37,51.33,53.79,53.79,"3,354,541"
"Jan 18, 2019",52.23,54.24,51.80,53.13,53.13,"2,561,538"
"Jan 11, 2019",52.28,53.31,50.38,52.07,52.07,"3,250,791"
"Jan 04, 2019",46.90,52.78,46.65,52.59,52.59,"4,116,901"
"Dec 28, 2018",45.44,47.78,44.35,47.09,47.09,"2,680,553"
"Dec 21, 2018",46.25,47.00,42.36,44.61,44.61,"2,473,860"
"Dec 14, 2018",52.83,52.95,45.67,45.88,45.88,"2,470,048"
"Dec 07, 2018",51.76,54.22,50.35,52.58,52.58,"3,850,641"
"Nov 30, 2018",51.27,54.55,49.65,51.49,51.49,"3,905,034"
"Nov 23, 2018",53.87,54.12,49.41,51.45,51.45,"4,086,194"
"Nov 16, 2018",56.58,57.96,52.77,54.63,54.63,"2,576,082"
"Nov 09, 2018",60.75,61.28,54.75,56.46,56.46,"3,824,786"
"Nov 02, 2018",63.50,64.14,60.40,60.67,60.67,"3,710,449"
"Oct 26, 2018",66.95,67.95,63.11,63.69,63.69,"3,209,912"
"Oct 19, 2018",68.68,69.77,65.74,67.33,67.33,"2,824,405"
"Oct 12, 2018",70.99,72.70,68.47,68.65,68.65,"2,597,202"
"Oct 05, 2018",74.67,75.28,70.51,70.97,70.97,"3,228,392"
"Sep 28, 2018",72.18,76.90,71.88,74.33,74.33,"2,995,879"
"Sep 21, 2018",70.20,72.78,69.98,72.12,72.12,"2,903,129"
"Sep 14, 2018",68.79,71.81,67.94,70.80,70.80,"2,000,299"
"Sep 07, 2018",67.88,71.26,66.86,68.59,68.59,"3,264,418"
"Aug 31, 2018",70.06,71.40,67.00,67.77,67.77,"2,381,648"
"Aug 24, 2018",67.90,70.50,67.78,70.25,70.25,"2,219,920"
"Aug 17, 2018",65.47,68.15,65.30,67.83,67.83,"1,753,865"
"Aug 10, 2018",66.74,68.37,64.43,65.46,65.46,"2,598,046"
"Aug 03, 2018",68.99,69.92,66.32,66.81,66.81,"2,726,961"
"Jul 27, 2018",69.58,70.43,66.92,68.96,68.96,"2,550,163"
"Jul 20, 2018",69.39,71.10,67.56,69.61,69.61,"2,693,445"
"Jul 13, 2018",70.38,71.66,67.03,69.46,69.46,"1,792,017"
"Jul 06, 2018",73.16,74.70,69.23,70.33,70.33,"3,300,864"
"Jun 29, 2018",73.33,75.27,72.51,72.94,72.94,"2,763,433"
"Jun 22, 2018",65.93,74.03,65.71,73.45,73.45,"4,293,478"
"Jun 15, 2018",66.62,67.16,63.59,65.54,65.54,"2,416,514"
"Jun 08, 2018",65.98,67.16,64.85,66.89,66.89,"2,740,482"
"Jun 01, 2018",67.07,67.34,64.22,65.95,65.95,"3,575,697"
"May 25, 2018",70.65,70.80,65.92,67.04,67.04,"3,659,553"
"May 18, 2018",71.60,72.83,70.52,70.71,70.71,"2,398,651"
"May 11, 2018",71.45,72.30,70.26,71.49,71.49,"3,179,178"
"May 04, 2018",68.50,71.89,67.63,71.36,71.36,"4,316,552"
"Apr 27, 2018",68.21,69.34,66.85,68.43,68.43,"3,473,092"
"Apr 20, 2018",68.26,69.38,67.11,68.19,68.19,"3,722,741"
"Apr 13, 2018",67.18,69.56,65.56,68.29,68.29,"2,018,012"
"Apr 06, 2018",63.70,67.45,61.81,67.07,67.07,"3,899,858"
"Mar 30, 2018",64.91,65.42,62.06,63.54,63.54,"2,459,224"
"Mar 23, 2018",64.28,66.55,63.72,64.94,64.94,"3,270,201"
"Mar 16, 2018",61.19,65.74,61.08,64.30,64.30,"2,489,104"
"Mar 09, 2018",60.27,62.33,60.11,61.19,61.19,"3,040,668"
"Mar 02, 2018",61.34,63.28,59.95,60.12,60.12,"3,447,362"
"Feb 23, 2018",62.60,64.24,60.18,60.99,60.99,"3,074,034"
"Feb 16, 2018",61.45,63.09,60.75,62.77,62.77,"2,035,187"
"Feb 09, 2018",60.43,61.64,58.07,61.34,61.34,"3,241,549"
"Feb 02, 2018",65.99,66.30,60.27,61.15,61.15,"4,505,435"
"Jan 26, 2018",65.25,66.46,63.67,65.80,65.80,"3,321,742"
"Jan 19, 2018",63.74,66.66,62.85,65.51,65.51,"3,089,605"
"Jan 12, 2018",63.57,64.89,63.06,63.95,63.95,"2,195,386"
"Jan 05, 2018",61.90,64.77,61.09,63.80,63.80,"3,598,716"
"Dec 29, 2017",59.91,62.21,59.82,62.01,62.01,"2,303,013"
"Dec 22, 2017",58.21,60.01,57.87,59.84,59.84,"1,510,697"
"Dec 15, 2017",57.15,58.38,56.82,58.36,58.36,"1,594,153"
"Dec 08, 2017",56.65,58.56,56.09,57.04,57.04,"3,353,525"
"Dec 01, 2017",57.42,58.88,55.82,56.69,56.69,"2,950,742"
"Nov 24, 2017",58.05,59.05,56.75,57.40,57.40,"3,291,122"
"Nov 17, 2017",55.25,58.15,55.18,58.02,58.02,"2,234,662"
"Nov 10, 2017",57.02,57.35,54.81,55.14,55.14,"2,595,561"
"Nov 03, 2017",54.73,57.92,54.40,57.17,57.17,"3,812,155"
"Oct 27, 2017",52.80,55.22,52.25,54.54,54.54,"2,947,137"
"Oct 20, 2017",51.42,52.86,50.70,52.64,52.64,"3,243,644"
"Oct 13, 2017",50.73,52.37,50.70,51.29,51.29,"1,939,867"
"Oct 06, 2017",50.75,51.42,49.10,50.60,50.60,"3,294,253"
"Sep 29, 2017",51.58,51.77,49.76,50.79,50.79,"2,868,871"
"Sep 22, 2017",50.73,52.86,50.29,51.56,51.56,"3,323,405"
"Sep 15, 2017",49.72,50.81,49.19,50.55,50.55,"2,101,563"
"Sep 08, 2017",49.09,50.50,47.00,49.89,49.89,"3,710,228"
"Sep 01, 2017",47.08,49.42,46.56,49.09,49.09,"3,149,993"
"Aug 25, 2017",47.62,48.20,45.58,47.23,47.23,"4,242,072"
"Aug 18, 2017",46.93,48.75,46.78,47.43,47.43,"2,779,699"
"Aug 11, 2017",48.52,49.16,46.46,47.09,47.09,"3,761,694"
"Aug 04, 2017",48.95,50.22,48.35,48.59,48.59,"4,494,968"
"Jul 28, 2017",49.17,50.43,48.37,49.03,49.03,"4,246,832"
"Jul 21, 2017",46.91,49.24,45.40,49.04,49.04,"4,131,669"
"Jul 14, 2017",46.08,47.55,45.80,46.79,46.79,"2,373,246"
"Jul 07, 2017",45.35,46.48,43.65,46.08,46.08,"4,547,651"
"Jun 30, 2017",44.89,47.32,44.51,45.52,45.52,"3,338,286"
"Jun 23, 2017",42.80,45.45,42.53,44.93,44.93,"3,633,696"
"Jun 16, 2017",44.25,45.06,42.05,42.74,42.74,"2,950,448"
